Date,REER,Oil_price,FDI,Poverty_rate,GDP_Construction,Year,Month,Nights,is_covid,Arrivals,Total_Receipts_MDH
2001-04-01,110.08541232876712,26.055901639344263,2246534987.6712327,14.97945205479452,,2001,4,,0,346457.58231579495,2344.1349432490856
2001-05-01,110.04452643835616,27.31,2053860883.561644,14.872602739726029,,2001,5,,0,371353.99875052134,2897.7660269011726
2001-06-01,110.00227768493151,28.86,1854764309.315068,14.76219178082192,,2001,6,,0,429793.9596050363,3379.8599815642424
2001-07-01,109.96139179452057,26.58295081967213,1662090205.2054794,14.655342465753424,,2001,7,,0,691091.5331041107,3234.3318469837905
2001-08-01,109.9191430410959,24.23,1462993630.958904,14.544931506849316,,2001,8,,0,489707.1299133434,3611.5847643603156
2001-09-01,109.87689428767123,22.700327868852455,1263897056.712329,14.434520547945208,,2001,9,,0,320727.3730611816,2694.465849686609
2001-10-01,109.83600839726029,21.22,1071222952.6027396,14.327671232876712,,2001,10,,0,358656.6862341173,2200.727219833216
2001-11-01,109.7937596438356,19.39,872126378.3561642,14.217260273972602,,2001,11,,0,306977.0279466664,1972.8822419351295
2001-12-01,109.75287375342464,19.49108695652174,679452274.2465751,14.11041095890411,,2001,12,,0,403608.0485504337,1961.742984339255
2002-01-01,109.710625,19.59554347826087,480355700.0,14.0,,2002,1,,0,301339.4184046986,2090.0760614695364
2002-02-01,109.64059175342464,19.7,635990478.0821917,13.915068493150685,,2002,2,,0,356951.7047326597,2351.9907099966736
2002-03-01,109.5773359178082,21.83,776563826.0273973,13.838356164383562,,2002,3,,0,291468.625998995,1859.805655073457
2002-04-01,109.50730267123286,26.06,932198604.1095892,13.753424657534246,,2002,4,,0,391706.7853591501,3123.3831208725865
2002-05-01,109.43952856164384,26.67,1082812905.479452,13.67123287671233,,2002,5,,0,367652.8240555423,2861.1224301751213
2002-06-01,109.36949531506848,26.151639344262296,1238447683.5616438,13.586301369863014,,2002,6,,0,407312.932993247,3033.9744730593115
2002-07-01,109.30172120547944,25.65,1389061984.9315069,13.504109589041096,,2002,7,,0,713704.8775244533,3504.3062177420798
2002-08-01,109.2316879589041,25.79,1544696763.0136986,13.41917808219178,,2002,8,,0,432597.176301203,2718.4307138944364
2002-09-01,109.16165471232875,27.634754098360656,1700331541.0958903,13.334246575342464,,2002,9,,0,319542.9831976863,2693.8107750831996
2002-10-01,109.09388060273972,29.42,1850945842.4657533,13.252054794520548,,2002,10,,0,385839.54222227575,2616.533754198333
2002-11-01,109.02384735616438,25.78,2006580620.5479453,13.167123287671233,,2002,11,,0,331198.2966902179,2344.870624519024
2002-12-01,108.95607324657534,26.209139072847684,2157194921.9178085,13.084931506849315,,2002,12,,0,375292.331815692,1688.6040981941303
2003-01-01,108.88604,26.652582781456957,2312829700.0,13.0,,2003,1,,0,309290.65307684295,2305.11283105562
2003-02-01,108.72467905479452,27.096026490066222,2192269060.821918,12.915068493150685,,2003,2,,0,345277.34822353144,2289.3172019961007
2003-03-01,108.5789336849315,27.49655629139073,2083375580.2739725,12.838356164383562,,2003,3,,0,371546.8514783824,3441.1421302754693
2003-04-01,108.41757273972604,27.94,1962814941.0958903,12.753424657534246,,2003,4,,0,408089.3581119815,3576.6152574787925
2003-05-01,108.26141698630136,23.79,1846143354.7945209,12.67123287671233,,2003,5,,0,380379.8125171409,3217.084563249745
2003-06-01,108.10005604109588,26.097213114754098,1725582715.6164384,12.586301369863014,,2003,6,,0,451592.06657461677,3986.881959115728
2003-07-01,107.94390028767124,28.33,1608911129.3150685,12.504109589041096,,2003,7,,0,761186.7839657088,4222.675726963417
2003-08-01,107.78253934246575,29.63,1488350490.1369865,12.41917808219178,,2003,8,,0,534131.1875321661,4613.736982578868
2003-09-01,107.62117839726028,29.64,1367789850.9589045,12.334246575342464,,2003,9,,0,332689.52405322914,3070.1199192962467
2003-10-01,107.4650226438356,27.98,1251118264.657534,12.252054794520548,,2003,10,,0,398024.7296978641,2925.581395148042
2003-11-01,107.30366169863014,28.07655737704918,1130557625.479452,12.167123287671233,,2003,11,,0,323365.35492204496,2329.8810314015896
2003-12-01,107.14750594520548,28.17,1013886039.1780822,12.084931506849315,,2003,12,,0,381415.34217443515,1812.4547250416892
