Date,REER,Oil_price,FDI,Poverty_rate,GDP_Construction,Year,Month,Nights,is_covid,Arrivals,Total_Receipts_MDH,lags_1,lags_2,lags_6,lags_12,roll_mean_3,roll_std_3,roll_mean_6,roll_std_6,roll_mean_12,roll_std_12,growth_yoy,month,year,quarter,month_sin,month_cos,saison_1,saison_2,saison_3,is_summer,is_high_season,is_vacances,jours_feries_count,is_ramadan,is_special_event,Oil_price_lag1,Oil_price_lag3,FDI_lag1,FDI_lag3,Poverty_rate_lag1,Poverty_rate_lag3,GDP_Construction_lag1,GDP_Construction_lag3,REER_lag1,REER_lag3,TSI,TSI_lag1,TSI_lag3,cdm_event,anomaly_zscore,anomaly_iforest,anomaly_prophet
1997-05-01,110.30306876712328,18.24,825983774.5205479,16.065753424657533,,1997,5,,0,236840.61761420558,1317.6643254466996,249297.7160497052,208065.27375696148,183287.88826423904,219535.22401003563,220743.2603539582,24780.542319303437,213574.48402883508,22574.097515294317,245094.93913301663,75738.69609389047,1.6260027906291794,5,1997,2,0.49999999999999994,-0.8660254037844387,1,0,0,0,1,0,1,0,0,18.15,19.771523178807943,889323155.8904109,1013890605.9178082,16.04931506849315,16.01698630136986,,,110.06358657534248,109.59260493150686,59.39,61.8,61.08,0,0,0,0
1997-06-01,110.55053369863012,18.60728260869565,760533080.4383562,16.0827397260274,,1997,6,,0,285377.1660646653,1693.795067534239,236840.61761420558,249297.7160497052,228206.6960801577,247820.08527055944,231401.20247362406,21147.55310100436,222499.93892049618,18406.531514741553,246537.05526669745,75371.64245214954,7.882741223968172,6,1997,2,1.2246467991473532e-16,-1.0,0,1,0,1,0,0,0,0,0,18.24,19.00198675496689,825983774.5205479,954773849.9726028,16.065753424657533,16.03232876712329,,,110.30306876712328,109.8161216438356,60.2,59.39,57.95,0,0,0,0
1997-07-01,110.79001589041096,18.962717391304345,697193699.0684931,16.09917808219178,,1997,7,,0,462108.97393429425,1633.6818862072719,285377.1660646653,236840.61761420558,207722.5387667392,463828.33054016664,257171.83324285867,25208.14203882525,232028.3505845808,31844.110460285632,249666.8119995396,76204.92280662936,15.154978561605542,7,1997,3,-0.4999999999999997,-0.8660254037844388,0,1,0,1,1,1,1,0,0,18.60728260869565,18.15,760533080.4383562,889323155.8904109,16.0827397260274,16.04931506849315,,,110.55053369863012,110.06358657534248,59.46,60.2,61.8,0,0,0,1
1997-08-01,111.0374808219178,19.33,631743004.9863014,16.116164383561642,,1997,8,,0,303292.96221753047,1533.009450174648,462108.97393429425,285377.1660646653,204866.79125520794,300998.44018982456,328108.91920438834,118557.8345559005,274426.08977917326,96572.40586733518,249523.53228238356,75766.00500258239,-0.3706881388357761,8,1997,3,-0.8660254037844385,-0.5000000000000004,0,1,0,1,1,1,3,0,0,18.962717391304345,18.24,697193699.0684931,825983774.5205479,16.09917808219178,16.065753424657533,,,110.79001589041096,110.30306876712328,65.62,59.46,59.39,0,0,0,0
1997-09-01,111.28494575342468,19.6044262295082,566292310.9041096,16.133150684931508,,1997,9,,0,235234.856160519,1670.8125712424267,303292.96221753047,462108.97393429425,208065.27375696148,191438.35611666812,350259.70073883,97277.63809690766,290830.451606227,90566.36204081005,249714.74245135908,75910.47919639605,0.7623036273074615,9,1997,3,-1.0,-1.8369701987210297e-16,0,0,1,0,0,0,0,0,0,19.33,18.60728260869565,631743004.9863014,760533080.4383562,16.116164383561642,16.0827397260274,,,111.0374808219178,110.55053369863012,60.99,65.62,60.2,0,0,0,0
1997-10-01,111.52442794520547,19.87,502952929.53424656,16.14958904109589,,1997,10,,0,255178.09283287264,1283.434457127882,235234.856160519,303292.96221753047,249297.7160497052,236071.92929593445,333545.5974374479,116423.29140777305,295358.7153401533,86173.19095915355,253364.4507883466,73879.56712325553,22.877599313044676,10,1997,4,-0.8660254037844386,0.5000000000000001,0,0,1,0,1,0,0,0,0,19.6044262295082,18.962717391304345,566292310.9041096,697193699.0684931,16.133150684931508,16.09917808219178,,,111.28494575342468,110.79001589041096,58.41,60.99,59.46,0,0,0,0
1997-11-01,111.77189287671231,18.92475409836066,437502235.45205474,16.16657534246575,,1997,11,,0,210950.39829827312,1063.1841001475223,255178.09283287264,235234.856160519,236840.61761420558,183287.88826423904,264568.63707030733,34987.32900384457,296338.7781373479,85575.92866143257,254956.6310830915,73678.62176822964,8.093365269611171,11,1997,4,-0.5000000000000004,0.8660254037844384,0,0,1,0,0,0,2,0,0,19.87,19.33,502952929.53424656,631743004.9863014,16.14958904109589,16.116164383561642,,,111.52442794520547,111.0374808219178,63.14,58.41,65.62,0,0,0,0
1997-12-01,112.01137506849317,18.01,374162854.0821917,16.183013698630138,,1997,12,,0,243803.10570458538,790.0299119544327,210950.39829827312,255178.09283287264,285377.1660646653,228206.6960801577,233787.78243055494,22149.328607125353,292023.74158469244,89728.06126795895,257261.84025259432,71636.90282961655,15.092382969765094,12,1997,4,-2.4492935982947064e-16,1.0,0,0,0,0,1,1,0,1,0,18.92475409836066,19.6044262295082,437502235.45205474,566292310.9041096,16.16657534246575,16.133150684931508,,,111.77189287671231,111.28494575342468,58.07,63.14,60.99,0,0,0,0
1998-01-01,112.25884,16.910909090909094,308712160.0,16.2,,1998,1,,0,203917.3812385401,1209.4224546995088,243803.10570458538,210950.39829827312,462108.97393429425,207722.5387667392,236643.86561191038,22966.56874654725,285094.73152467917,91922.37004190094,258561.54105462995,71201.99804645046,6.834334790487229,1,1998,1,0.49999999999999994,0.8660254037844387,0,0,0,0,0,0,2,1,0,18.01,19.87,374162854.0821917,502952929.53424656,16.183013698630138,16.14958904109589,,,112.01137506849317,111.52442794520547,61.67,58.07,58.41,0,0,0,0
1998-02-01,112.25862053698631,15.811818181818182,352728919.01369864,16.2,,1998,2,,0,231475.47264366,1246.4558623623202,203917.3812385401,243803.10570458538,303292.96221753047,204866.79125520794,219556.96174713285,21290.196214331954,242062.79940872014,35759.88720461634,258244.44459394668,71457.00756415946,-1.831846245857827,2,1998,1,0.8660254037844386,0.5000000000000001,0,0,0,0,0,0,0,0,0,16.910909090909094,18.92475409836066,308712160.0,437502235.45205474,16.2,16.16657534246575,,,112.25884,111.77189287671231,56.28,61.67,63.14,0,0,0,0
