Date,InterTourismeReceipts,REER,Oil_price,FDI,Poverty_rate,GDP_Construction,Year,Month,Nights,is_covid,Arrivals,Total_Receipts_MDH
1998-05-01,2013890410.958904,112.25799046575342,14.6,479099614.24657536,16.2,,1998,5,,0,258559.74601134958,1730.944208115161
1998-06-01,2034528767.123288,112.25777100273972,13.66,523116373.26027393,16.2,,1998,6,,0,273680.0611546872,2063.6121700050435
1998-07-01,2054501369.8630135,112.25755861917808,11.93,565713236.8219178,16.2,,1998,7,,0,498267.01599121967,1950.9104531150474
1998-08-01,2075139726.027397,112.25733915616438,12.02,609729995.8356164,16.2,,1998,8,,0,332265.1528225232,2152.9628693122445
1998-09-01,2095778082.1917808,112.25711969315068,12.11,653746754.849315,16.2,,1998,9,,0,218042.89751219822,1785.0460136015402
1998-10-01,2115750684.9315069,112.25690730958904,14.46,696343618.4109589,16.2,,1998,10,,0,255584.11574251874,1645.0193152190645
1998-11-01,2136389041.0958903,112.25668784657532,12.127377049180328,740360377.4246576,16.2,,1998,11,,0,215926.6088619095,1111.0004413390482
1998-12-01,2156361643.8356166,112.25647546301369,9.87,782957240.9863014,16.2,,1998,12,,0,267246.23481674056,1136.368862671003
1999-01-01,2177000000.0,112.256256,10.34,826974000.0,16.2,,1999,1,,0,258446.21223797541,1095.6885459748064
1999-02-01,2185747945.20548,112.4767911890411,10.81,792965664.8767123,16.166027397260272,,1999,2,,0,303296.61271914624,1233.8063373256452
1999-03-01,2193649315.0684934,112.67598426301367,10.52,762248458.9589041,16.135342465753425,,1999,3,,0,291905.725013638,1620.7121777246373
1999-04-01,2202397260.2739725,112.8965194520548,14.6,728240123.8356165,16.101369863013698,,1999,4,,0,308704.1828099288,2121.491632226963
1999-05-01,2210863013.6986303,113.10994060273973,14.41311475409836,695328831.7808219,16.06849315068493,,1999,5,,0,317345.8595362953,1901.762334450271
1999-06-01,2219610958.904109,113.3304757917808,14.22,661320496.6575342,16.034520547945206,,1999,6,,0,335215.0507310703,2367.366603557143
1999-07-01,2228076712.328768,113.54389694246576,17.25,628409204.6027397,16.001643835616438,,1999,7,,0,618116.4315389248,1833.129333490922
1999-08-01,2236824657.5342464,113.76443213150684,19.175,594400869.479452,15.967671232876713,,1999,8,,0,404598.80968299124,2236.5350032314605
