Date,Arrivals,lags_1,lags_2,lags_12,roll_mean_3,roll_mean_6,roll_mean_12,roll_std_3,roll_std_6,roll_std_12,growth_yoy,month_sin,month_cos,quarter,year,saison_1,saison_2,saison_3,Oil_price_lag1,FDI_lag1,Poverty_rate_lag1,REER_lag1,is_covid,cdm_event
2002-01-01,282540.0,229800.0,275760.0,275760.0,291080.0,398320.0,383000.0,70205.05964672346,135302.5764721427,106140.07348782085,2.4586597040905134,0.49999999999999994,0.8660254037844387,1,2002,False,False,False,19.49108695652174,679452274.2465751,14.11041095890411,109.75287375342464,0,0
2002-02-01,282540.0,282540.0,229800.0,275760.0,262700.0,353490.0,383565.0,28693.197800175534,117822.18042457035,105533.63552570686,2.4586597040905134,0.8660254037844386,0.5000000000000001,1,2002,False,False,False,19.59554347826087,480355700.0,14.0,109.710625,0,0
2002-03-01,376720.0,282540.0,282540.0,367680.0,264960.0,308660.0,384130.0,30449.453197060833,68073.45914524983,104920.37344403789,2.4586597040905134,1.0,6.123233995736766e-17,1,2002,True,False,False,19.7,635990478.0821917,13.915068493150685,109.64059175342464,0,0
2002-04-01,423810.0,376720.0,282540.0,413640.0,313933.3333333333,302506.6666666667,384883.3333333333,54374.84835227895,57539.83200068159,104823.93371166667,2.4586597040905134,0.8660254037844387,-0.4999999999999998,2,2002,True,False,False,21.83,776563826.0273973,13.838356164383562,109.5773359178082,0,0
2002-05-01,423810.0,423810.0,376720.0,413640.0,361023.3333333333,311861.6666666667,385730.8333333333,71931.16315849018,72795.60492685437,105118.26598977447,2.4586597040905134,0.49999999999999994,-0.8660254037844387,2,2002,True,False,False,26.06,932198604.1095892,13.753424657534246,109.50730267123286,0,0
2002-06-01,470900.0,423810.0,423810.0,459600.0,408113.3333333333,336536.6666666667,386578.3333333333,27187.424176139517,82549.33765128991,105404.34291840454,2.4586597040905134,1.2246467991473532e-16,-1.0,2,2002,False,True,False,26.67,1082812905.479452,13.67123287671233,109.43952856164384,0,0
2002-07-01,565080.0,470900.0,423810.0,551520.0,439506.6666666667,376720.0,387520.0,27187.424176139517,78796.64129897932,106163.7540440582,2.4586597040905134,-0.4999999999999997,-0.8660254037844388,3,2002,False,True,False,26.151639344262296,1238447683.5616438,13.586301369863014,109.36949531506848,0,0
2002-08-01,565080.0,565080.0,470900.0,551520.0,486596.6666666667,423810.0,388650.0,71931.16315849018,94180.00000000013,108122.15322579286,2.4586597040905134,-0.8660254037844384,-0.5000000000000004,3,2002,False,True,False,25.65,1389061984.9315069,13.504109589041096,109.30172120547944,0,0
2002-09-01,423810.0,565080.0,565080.0,413640.0,533686.6666666666,470900.0,389780.0,54374.84835227896,78796.64129897946,110033.04685411566,2.4586597040905134,-1.0,-1.8369701987210297e-16,3,2002,False,False,True,25.79,1544696763.0136986,13.41917808219178,109.2316879589041,0,0
2002-10-01,376720.0,423810.0,565080.0,367680.0,517990.0,478748.3333333333,390627.5,81562.27252841844,69314.60319923,110272.4343799978,2.4586597040905134,-0.8660254037844386,0.5000000000000001,4,2002,False,False,True,27.634754098360656,1700331541.0958903,13.334246575342464,109.16165471232875,0,0
2002-11-01,282540.0,376720.0,423810.0,275760.0,455203.3333333333,470900.0,391380.8333333333,98025.6519148602,78796.64129897946,110132.2049718869,2.4586597040905134,-0.5000000000000004,0.8660254037844384,4,2002,False,False,True,29.42,1850945842.4657533,13.252054794520548,109.09388060273972,0,0
2002-12-01,235450.0,282540.0,376720.0,229800.0,361023.3333333333,447355.0,391945.8333333333,71931.16315849015,110435.83906504279,109500.70464350563,2.4586597040905134,-2.4492935982947064e-16,1.0,4,2002,False,False,False,25.78,2006580620.5479453,13.167123287671233,109.02384735616438,0,0
2003-01-01,301260.0,235450.0,282540.0,282540.0,298236.6666666667,408113.3333333333,392416.6666666667,71931.16315849015,138629.2063984595,108749.69670455795,6.625610533021874,0.49999999999999994,0.8660254037844387,1,2003,False,False,False,26.209139072847684,2157194921.9178085,13.084931506849315,108.95607324657534,0,0
