Date,InterTourismeReceipts,REER,Oil_price,FDI,Poverty_rate,GDP_Construction
1987-01-01,1469000000.0,102.69609,18.65,59574900.0,21.0,
1987-02-01,1469000000.0,102.69609,18.65,61705553.27123287,20.915068493150685,
1987-03-01,1469000000.0,102.69609,18.65,63630014.29041096,20.838356164383562,
1987-04-01,1469000000.0,102.69609,18.65,65760667.56164384,20.753424657534246,
1987-05-01,1469000000.0,102.69609,18.65,67822590.08219178,20.671232876712327,
1987-06-01,1469000000.0,102.69609,18.65,69953243.35342465,20.586301369863016,
1987-07-01,1469000000.0,102.69609,18.98,72015165.8739726,20.504109589041096,
1987-08-01,1469000000.0,102.69609,18.705,74145819.14520548,20.41917808219178,
1987-09-01,1469000000.0,102.69609,18.43,76276472.41643836,20.334246575342465,
1987-10-01,1469000000.0,102.69609,18.5,78338394.9369863,20.252054794520546,
1987-11-01,1469000000.0,102.69609,18.068032786885244,80469048.20821917,20.167123287671235,
1987-12-01,1469000000.0,102.69609,17.65,82530970.72876713,20.084931506849315,
1988-01-01,1469000000.0,102.69609,16.875,84661624.0,20.0,
1988-02-01,1469000000.0,102.74533680327869,16.1,91640385.16393442,19.830601092896174,
1988-03-01,1469000000.0,102.79140639344261,14.18,98168903.67213115,19.672131147540984,
1988-04-01,1469000000.0,102.8406531967213,14.90445652173913,105147664.83606558,19.502732240437158,
1988-05-01,1469000000.0,102.88831139344262,15.605543478260868,111901304.67213115,19.338797814207652,
1988-06-01,1469000000.0,102.93755819672131,16.33,118880065.83606558,19.169398907103826,
1988-07-01,1469000000.0,102.98521639344261,13.95,125633705.67213115,19.005464480874316,
1988-08-01,1469000000.0,103.0344631967213,15.6,132612466.83606558,18.83606557377049,
1988-09-01,1469000000.0,103.08371,14.15,139591228.0,18.666666666666668,
1988-10-01,1469000000.0,103.13136819672131,13.181147540983606,146344867.8360656,18.502732240437158,
1988-11-01,1469000000.0,103.18061499999999,12.18,153323629.0,18.333333333333332,
1988-12-01,1469000000.0,103.2282731967213,14.93,160077268.8360656,18.169398907103826,
1989-01-01,1469000000.0,103.27752,15.665,167056030.0,18.0,
1989-02-01,1469000000.0,102.86075515068492,16.4,166891853.15068492,17.915068493150685,
1989-03-01,1469000000.0,102.48432238356165,17.25,166743564.38356164,17.838356164383562,
1989-04-01,1469000000.0,102.06755753424657,17.529673913043478,166579387.53424656,17.753424657534246,
1989-05-01,1469000000.0,101.66423671232877,17.80032608695652,166420506.71232876,17.671232876712327,
1989-06-01,1469000000.0,101.2474718630137,18.08,166256329.86301368,17.586301369863016,
1989-07-01,1469000000.0,100.84415104109588,17.170163934426228,166097449.04109588,17.504109589041096,
1989-08-01,1469000000.0,100.42738619178083,16.23,165933272.19178084,17.41917808219178,
