lags_1,lags_2,lags_12,roll_mean_3,roll_mean_6,roll_mean_12,roll_std_3,roll_std_6,roll_std_12,growth_yoy,month_sin,month_cos,quarter,year,saison_1,saison_2,saison_3,is_summer,is_high_season,is_vacances,jours_feries_count,is_ramadan,is_special_event,Oil_price_lag1,FDI_lag1,Poverty_rate_lag1,REER_lag1,Oil_price_lag3,FDI_lag3,Poverty_rate_lag3,REER_lag3,is_covid,cdm_event,anomaly_zscore,anomaly_iforest,anomaly_prophet
236840.6176142056,249297.7160497052,247820.08527055944,231401.20247362411,222499.93892049618,246537.05526669743,21147.553101004472,18406.53151474105,75371.64245214952,7.882741223968185,1.2246467991473532e-16,-1.0,2,1997,0,1,0,1,0,0,0,0,0,18.24,825983774.5205479,16.065753424657533,110.30306876712328,19.00198675496689,954773849.9726028,16.03232876712329,109.8161216438356,0,0,0,0,0
285377.1660646653,236840.6176142056,463828.3305401666,257171.83324285867,232028.3505845808,249666.81199953958,25208.142038825255,31844.1104602854,76204.92280662934,15.154978561605542,-0.4999999999999997,-0.8660254037844388,3,1997,0,1,0,1,1,1,1,0,0,18.60728260869565,760533080.4383562,16.0827397260274,110.55053369863012,18.15,889323155.8904109,16.04931506849315,110.06358657534248,0,0,0,0,1
462108.9739342943,285377.1660646653,300998.44018982456,328108.91920438845,274426.0897791733,249523.53228238356,118557.83455590045,96572.40586733518,75766.0050025824,-0.3706881388357511,-0.8660254037844385,-0.5000000000000004,3,1997,0,1,0,1,1,1,3,0,0,18.962717391304345,697193699.0684931,16.09917808219178,110.79001589041096,18.24,825983774.5205479,16.065753424657533,110.30306876712328,0,0,0,0,0
303292.96221753047,462108.9739342943,191438.3561166681,350259.70073883,290830.451606227,249714.74245135905,97277.63809690758,90566.3620408101,75910.47919639606,0.7623036273074615,-1.0,-1.8369701987210297e-16,3,1997,0,0,1,0,0,0,0,0,0,19.33,631743004.9863014,16.116164383561642,111.0374808219178,18.60728260869565,760533080.4383562,16.0827397260274,110.55053369863012,0,0,0,0,0
235234.856160519,303292.96221753047,236071.92929593445,333545.5974374479,295358.7153401533,253364.45078834667,116423.29140777302,86173.19095915361,73879.56712325555,22.877599313044694,-0.8660254037844386,0.5000000000000001,4,1997,0,0,1,0,1,0,0,0,0,19.6044262295082,566292310.9041096,16.133150684931508,111.28494575342468,18.962717391304345,697193699.0684931,16.09917808219178,110.79001589041096,0,0,0,0,0
255178.09283287264,235234.856160519,183287.88826423904,264568.63707030733,296338.7781373479,254956.6310830915,34987.32900384468,85575.92866143263,73678.62176822966,8.093365269611171,-0.5000000000000004,0.8660254037844384,4,1997,0,0,1,0,0,0,2,0,0,19.87,502952929.53424656,16.14958904109589,111.52442794520547,19.33,631743004.9863014,16.116164383561642,111.0374808219178,0,0,0,0,0
210950.39829827312,255178.09283287264,228206.6960801577,233787.78243055494,292023.74158469244,257261.84025259432,22149.32860712576,89728.06126795901,71636.90282961658,15.092382969765094,-2.4492935982947064e-16,1.0,4,1997,0,0,0,0,1,1,0,1,0,18.92475409836066,437502235.45205474,16.16657534246575,111.77189287671231,19.6044262295082,566292310.9041096,16.133150684931508,111.28494575342468,0,0,0,0,0
243803.10570458535,210950.39829827312,207722.5387667392,236643.86561191035,285094.73152467917,258561.54105462998,22966.56874654762,91922.37004190101,71201.99804645049,6.834334790487216,0.49999999999999994,0.8660254037844387,1,1998,0,0,0,0,0,0,2,1,0,18.01,374162854.0821917,16.183013698630138,112.01137506849317,19.87,502952929.53424656,16.14958904109589,111.52442794520547,0,0,0,0,0
203917.3812385401,243803.10570458535,204866.79125520797,219556.96174713285,242062.7994087201,258244.4445939467,21290.19621433249,35759.887204616345,71457.00756415949,-1.831846245857827,0.8660254037844386,0.5000000000000001,1,1998,0,0,0,0,0,0,0,0,0,16.910909090909094,308712160.0,16.2,112.25884,18.92475409836066,437502235.45205474,16.16657534246575,111.77189287671231,0,0,0,0,0
231475.47264366,203917.3812385401,208065.27375696148,226398.65319559517,230093.21781307505,260461.83470965107,20421.761085335536,19479.12222571815,70049.03826897386,12.988284350734475,1.0,6.123233995736766e-17,1,1998,1,0,0,0,0,0,0,0,0,15.811818181818182,352728919.01369864,16.2,112.25862053698631,18.01,374162854.0821917,16.183013698630138,112.01137506849317,0,0,0,0,0
